iteration,log_likelihood
946,-2553081.259378359
947,-2553081.196047409
948,-2553081.1327597126
949,-2553081.069515154
950,-2553081.006313617
951,-2553080.943154986
952,-2553080.880039153
953,-2553080.816965996
954,-2553080.7539354074
955,-2553080.6909472668
956,-2553080.6280014673
957,-2553080.5650978927
958,-2553080.5022364343
959,-2553080.439416972
960,-2553080.376639399
961,-2553080.3139036037
962,-2553080.2512094695
963,-2553080.188556888
964,-2553080.125945749
965,-2553080.0633759396
966,-2553080.000847349
967,-2553079.938359867
968,-2553079.8759133834
969,-2553079.813507789
970,-2553079.7511429708
971,-2553079.688818821
972,-2553079.626535229
973,-2553079.5642920914
974,-2553079.5020892913
975,-2553079.4399267244
976,-2553079.3778042817
977,-2553079.3157218555
978,-2553079.2536793347
979,-2553079.191676615
980,-2553079.129713588
981,-2553079.067790144
982,-2553079.005906181
983,-2553078.944061589
984,-2553078.882256263
985,-2553078.820490091
986,-2553078.7587629748
987,-2553078.6970748026
988,-2553078.635425473
989,-2553078.573814877
990,-2553078.512242913
991,-2553078.4507094733
992,-2553078.389214452
993,-2553078.3277577497
994,-2553078.266339258
995,-2553078.2049588743
996,-2553078.1436164933
997,-2553078.082312012
998,-2553078.021045329
999,-2553077.959816339
