iteration,log_likelihood
453,-2553120.938772731
454,-2553120.832346174
455,-2553120.726074562
456,-2553120.619957475
457,-2553120.5139944986
458,-2553120.4081852166
459,-2553120.3025292144
460,-2553120.1970260795
461,-2553120.091675401
462,-2553119.9864767683
463,-2553119.8814297724
464,-2553119.776534006
465,-2553119.6717890636
466,-2553119.5671945377
467,-2553119.4627500274
468,-2553119.3584551285
469,-2553119.2543094396
470,-2553119.150312562
471,-2553119.0464640963
472,-2553118.9427636447
473,-2553118.839210812
474,-2553118.7358052013
475,-2553118.6325464207
476,-2553118.5294340765
477,-2553118.4264677768
478,-2553118.3236471326
479,-2553118.2209717548
480,-2553118.1184412544
481,-2553118.0160552463
482,-2553117.9138133437
483,-2553117.811715164
484,-2553117.709760323
485,-2553117.6079484387
486,-2553117.5062791323
487,-2553117.4047520226
488,-2553117.303366731
489,-2553117.202122881
490,-2553117.1010200963
491,-2553117.0000580023
492,-2553116.899236225
493,-2553116.7985543925
494,-2553116.698012132
495,-2553116.5976090734
496,-2553116.4973448487
497,-2553116.397219089
498,-2553116.2972314274
499,-2553116.1973814983
500,-2553116.0976689355
501,-2553115.9980933773
502,-2553115.8986544604
503,-2553115.7993518226
504,-2553115.700185105
505,-2553115.601153947
506,-2553115.502257991
507,-2553115.4034968796
508,-2553115.3048702576
509,-2553115.2063777684
510,-2553115.108019059
511,-2553115.0097937766
512,-2553114.9117015693
513,-2553114.8137420868
514,-2553114.715914978
515,-2553114.6182198967
516,-2553114.520656492
517,-2553114.4232244203
518,-2553114.3259233343
519,-2553114.22875289
520,-2553114.1317127435
521,-2553114.0348025537
522,-2553113.938021978
523,-2553113.8413706757
524,-2553113.744848308
525,-2553113.6484545358
526,-2553113.552189023
527,-2553113.456051432
528,-2553113.3600414265
529,-2553113.2641586745
530,-2553113.1684028404
531,-2553113.0727735925
532,-2553112.9772705995
533,-2553112.881893531
534,-2553112.786642057
535,-2553112.6915158485
536,-2553112.5965145784
537,-2553112.5016379203
538,-2553112.406885548
539,-2553112.312257137
540,-2553112.2177523635
541,-2553112.123370905
542,-2553112.0291124377
543,-2553111.934976644
544,-2553111.8409632
545,-2553111.747071789
546,-2553111.653302092
547,-2553111.559653792
548,-2553111.466126573
549,-2553111.372720119
550,-2553111.2794341156
551,-2553111.186268249
552,-2553111.093222207
553,-2553111.0002956777
554,-2553110.90748835
555,-2553110.8147999123
556,-2553110.722230059
557,-2553110.6297784788
558,-2553110.5374448663
559,-2553110.4452289147
560,-2553110.353130317
561,-2553110.2611487694
562,-2553110.1692839693
563,-2553110.0775356106
564,-2553109.9859033953
565,-2553109.8943870193
566,-2553109.802986183
567,-2553109.7117005875
568,-2553109.620529933
569,-2553109.529473923
570,-2553109.4385322593
571,-2553109.3477046466
572,-2553109.25699079
573,-2553109.166390394
574,-2553109.075903165
575,-2553108.985528812
576,-2553108.8952670414
577,-2553108.8051175624
578,-2553108.715080085
579,-2553108.625154319
580,-2553108.5353399776
581,-2553108.445636771
582,-2553108.3560444135
583,-2553108.2665626183
584,-2553108.1771911
585,-2553108.0879295734
586,-2553107.9987777574
587,-2553107.9097353653
588,-2553107.820802117
589,-2553107.7319777324
590,-2553107.643261928
591,-2553107.554654425
592,-2553107.466154945
593,-2553107.37776321
594,-2553107.289478941
595,-2553107.201301863
596,-2553107.1132316985
597,-2553107.025268173
598,-2553106.937411012
599,-2553106.8496599426
600,-2553106.7620146913
601,-2553106.6744749853
602,-2553106.587040555
603,-2553106.499711128
604,-2553106.4124864363
605,-2553106.3253662083
606,-2553106.2383501776
607,-2553106.1514380765
608,-2553106.0646296367
609,-2553105.9779245933
610,-2553105.8913226807
611,-2553105.8048236337
612,-2553105.7184271887
613,-2553105.6321330834
614,-2553105.545941054
615,-2553105.4598508384
616,-2553105.373862177
617,-2553105.287974809
618,-2553105.2021884737
619,-2553105.116502913
620,-2553105.0309178685
621,-2553104.9454330835
622,-2553104.860048301
623,-2553104.774763263
624,-2553104.6895777164
625,-2553104.6044914057
626,-2553104.519504077
627,-2553104.434615476
628,-2553104.349825352
629,-2553104.265133451
630,-2553104.1805395233
631,-2553104.0960433176
632,-2553104.011644584
633,-2553103.927343074
634,-2553103.8431385383
635,-2553103.7590307295
636,-2553103.675019399
637,-2553103.5911043026
638,-2553103.5072851926
639,-2553103.4235618245
640,-2553103.3399339537
641,-2553103.2564013368
642,-2553103.1729637305
643,-2553103.0896208915
644,-2553103.0063725775
645,-2553102.923218549
646,-2553102.840158564
647,-2553102.757192382
648,-2553102.674319767
649,-2553102.5915404763
650,-2553102.5088542732
651,-2553102.4262609202
652,-2553102.3437601826
653,-2553102.2613518215
654,-2553102.179035603
655,-2553102.096811291
656,-2553102.014678652
657,-2553101.932637452
658,-2553101.850687459
659,-2553101.76882844
660,-2553101.687060163
661,-2553101.6053823964
662,-2553101.5237949104
663,-2553101.442297475
664,-2553101.3608898604
665,-2553101.279571839
666,-2553101.1983431815
667,-2553101.1172036603
668,-2553101.0361530506
669,-2553100.955191123
670,-2553100.874317654
671,-2553100.793532418
672,-2553100.71283519
673,-2553100.6322257468
674,-2553100.551703864
675,-2553100.4712693198
676,-2553100.3909218917
677,-2553100.3106613583
678,-2553100.230487498
679,-2553100.150400092
680,-2553100.0703989174
681,-2553099.990483758
682,-2553099.910654394
683,-2553099.8309106072
684,-2553099.751252179
685,-2553099.671678895
686,-2553099.592190536
687,-2553099.5127868885
688,-2553099.4334677346
689,-2553099.3542328626
690,-2553099.2750820564
691,-2553099.1960151023
692,-2553099.117031788
693,-2553099.038131901
694,-2553098.9593152287
695,-2553098.8805815605
696,-2553098.8019306846
697,-2553098.7233623913
698,-2553098.6448764713
699,-2553098.5664727143
700,-2553098.488150912
701,-2553098.4099108567
702,-2553098.3317523403
703,-2553098.2536751563
704,-2553098.1756790974
705,-2553098.0977639575
706,-2553098.019929532
707,-2553097.942175615
708,-2553097.864502004
709,-2553097.786908493
710,-2553097.7093948787
711,-2553097.631960959
712,-2553097.554606532
713,-2553097.4773313953
714,-2553097.4001353476
715,-2553097.3230181886
716,-2553097.245979716
717,-2553097.169019733
718,-2553097.0921380385
719,-2553097.0153344343
720,-2553096.9386087223
721,-2553096.861960705
722,-2553096.7853901843
723,-2553096.708896964
724,-2553096.6324808467
725,-2553096.556141639
726,-2553096.479879144
727,-2553096.403693167
728,-2553096.3275835156
729,-2553096.2515499936
730,-2553096.175592409
731,-2553096.099710569
732,-2553096.02390428
733,-2553095.948173352
734,-2553095.8725175937
735,-2553095.7969368123
736,-2553095.7214308204
737,-2553095.645999426
738,-2553095.570642439
739,-2553095.4953596722
740,-2553095.420150937
741,-2553095.3450160446
742,-2553095.269954808
743,-2553095.194967041
744,-2553095.120052555
745,-2553095.045211166
746,-2553094.970442687
747,-2553094.8957469338
748,-2553094.8211237206
749,-2553094.7465728647
750,-2553094.6720941807
751,-2553094.5976874856
752,-2553094.523352598
753,-2553094.4490893343
754,-2553094.374897512
755,-2553094.3007769515
756,-2553094.2267274694
757,-2553094.1527488874
758,-2553094.078841024
759,-2553094.0050036996
760,-2553093.9312367346
761,-2553093.857539952
762,-2553093.7839131705
763,-2553093.7103562145
764,-2553093.6368689067
765,-2553093.5634510685
766,-2553093.490102524
767,-2553093.4168230975
768,-2553093.3436126127
769,-2553093.270470895
770,-2553093.197397768
771,-2553093.124393059
772,-2553093.051456593
773,-2553092.9785881964
774,-2553092.9057876966
775,-2553092.83305492
776,-2553092.760389696
777,-2553092.687791851
778,-2553092.6152612143
779,-2553092.542797615
780,-2553092.470400881
781,-2553092.398070845
782,-2553092.325807335
783,-2553092.2536101826
784,-2553092.1814792175
785,-2553092.1094142725
786,-2553092.037415179
787,-2553091.9654817693
788,-2553091.8936138763
789,-2553091.821811333
790,-2553091.7500739726
791,-2553091.6784016294
792,-2553091.6067941375
793,-2553091.535251332
794,-2553091.4637730476
795,-2553091.3923591194
796,-2553091.3210093845
797,-2553091.2497236785
798,-2553091.178501838
799,-2553091.1073437002
800,-2553091.036249102
801,-2553090.9652178832
802,-2553090.8942498798
803,-2553090.8233449324
804,-2553090.752502879
805,-2553090.681723559
806,-2553090.611006812
807,-2553090.540352479
808,-2553090.4697604007
809,-2553090.399230417
810,-2553090.3287623706
811,-2553090.2583561027
812,-2553090.1880114544
813,-2553090.1177282706
814,-2553090.047506391
815,-2553089.9773456617
816,-2553089.9072459256
817,-2553089.8372070254
818,-2553089.7672288073
819,-2553089.697311115
820,-2553089.627453794
821,-2553089.5576566886
822,-2553089.4879196472
823,-2553089.418242513
824,-2553089.3486251356
825,-2553089.27906736
826,-2553089.2095690337
827,-2553089.1401300053
828,-2553089.070750122
829,-2553089.001429233
830,-2553088.9321671864
831,-2553088.8629638315
832,-2553088.7938190177
833,-2553088.7247325946
834,-2553088.655704414
835,-2553088.5867343247
836,-2553088.517822178
837,-2553088.4489678256
838,-2553088.3801711183
839,-2553088.3114319094
840,-2553088.2427500505
841,-2553088.1741253943
842,-2553088.1055577933
843,-2553088.037047101
844,-2553087.968593172
845,-2553087.9001958594
846,-2553087.8318550186
847,-2553087.7635705033
848,-2553087.6953421687
849,-2553087.627169871
850,-2553087.559053465
851,-2553087.4909928082
852,-2553087.4229877554
853,-2553087.3550381633
854,-2553087.28714389
855,-2553087.219304793
856,-2553087.151520731
857,-2553087.0837915586
858,-2553087.016117138
859,-2553086.9484973256
860,-2553086.880931982
861,-2553086.813420966
862,-2553086.7459641364
863,-2553086.6785613545
864,-2553086.611212481
865,-2553086.543917375
866,-2553086.476675899
867,-2553086.409487914
868,-2553086.342353281
869,-2553086.275271863
870,-2553086.2082435223
871,-2553086.141268121
872,-2553086.074345522
873,-2553086.0074755885
874,-2553085.940658185
875,-2553085.873893175
876,-2553085.807180422
877,-2553085.7405197914
878,-2553085.6739111478
879,-2553085.6073543564
880,-2553085.5408492824
881,-2553085.4743957915
882,-2553085.4079937506
883,-2553085.3416430256
884,-2553085.2753434833
885,-2553085.2090949905
886,-2553085.142897415
887,-2553085.076750623
888,-2553085.0106544844
889,-2553084.9446088667
890,-2553084.8786136373
891,-2553084.812668667
892,-2553084.7467738227
893,-2553084.6809289763
894,-2553084.615133996
895,-2553084.549388752
896,-2553084.483693115
897,-2553084.418046955
898,-2553084.3524501435
899,-2553084.286902552
900,-2553084.2214040505
901,-2553084.1559545123
902,-2553084.0905538094
